City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
133,krasnoshchekovo,51.6708,82.7289,10.98,50,6,5.66,RU,1685067009
134,vernon,50.2581,-119.2691,22.74,59,60,2.24,CA,1685067009
135,tamanrasset,22.785,5.5228,19.95,24,0,1.03,DZ,1685067010
136,mejit,10.2753,170.8646,27.87,79,100,8.4,MH,1685067011
137,madhogarh,26.276,79.1869,29.4,44,93,0.93,IN,1685067012
138,dudinka,69.4058,86.1778,2.57,88,17,5.76,RU,1685067013
139,punta arenas,-53.15,-70.9167,1.06,86,40,2.57,CL,1685067012
140,hithadhoo,-0.6,73.0833,26.54,82,100,2.54,MV,1685067015
141,santiago de cao,-7.9589,-79.2392,23.07,83,7,5.14,PE,1685067015
142,bubaque,11.2833,-15.8333,25.49,81,100,7.5,GW,1685067016
143,atafu village,-8.5421,-172.5159,28.59,71,23,4.8,TK,1685067017
144,puerto lempira,15.2667,-83.7667,26.52,75,15,2.63,HN,1685067019
145,cockburn town,21.4612,-71.1419,27.45,81,0,4.54,TC,1685067020
146,east moriches,40.8051,-72.7609,15.98,81,20,0.0,US,1685067020
147,margate,51.3813,1.3862,11.04,76,10,3.13,GB,1685067022
148,khanty-mansiysk,61.0042,69.0019,13.06,54,0,2.0,RU,1685067023
149,lihue,21.9789,-159.3672,25.58,83,75,7.72,US,1685066992
150,benghazi,32.1167,20.0667,20.91,66,0,3.78,LY,1685067024
151,safotu,-13.4513,-172.4018,27.32,79,73,2.03,WS,1685067024
152,alice springs,-23.7,133.8833,13.75,47,40,5.66,AU,1685067026
153,port lincoln,-34.7333,135.8667,14.28,63,100,5.94,AU,1685067026
154,egilsstadir,65.2653,-14.3948,5.83,64,100,2.76,IS,1685067027
155,queenstown,-31.8976,26.8753,6.02,77,54,8.13,ZA,1685066835
156,acarau,-2.8856,-40.12,25.8,84,15,4.54,BR,1685067030
157,bathsheba,13.2167,-59.5167,27.34,89,40,4.63,BB,1685067031
158,guerrero,17.6667,-100.0,23.63,76,6,2.97,MX,1685067033
159,kodiak,57.79,-152.4072,7.73,76,100,4.12,US,1685067033
160,itamaraca,-7.7478,-34.8256,28.03,78,100,4.86,BR,1685067033
161,minot air force base,48.4209,-101.3391,26.1,51,0,6.17,US,1685067035
162,stanley,54.868,-1.6985,10.95,90,60,1.58,GB,1685066961
163,labytnangi,66.6572,66.4183,16.82,62,96,5.3,RU,1685067035
164,sorong,-0.8833,131.25,27.67,81,100,6.85,ID,1685067036
165,khandyga,62.6667,135.6,10.75,47,83,1.62,RU,1685067037
166,meadow lakes,61.6247,-149.6011,12.08,87,75,1.54,US,1685067038
167,taltal,-25.4,-70.4833,16.59,78,100,1.45,CL,1685067038
168,sao gabriel da cachoeira,-0.1303,-67.0892,23.02,99,100,0.98,BR,1685067039
169,laascaanood,8.4774,47.3597,24.13,69,57,6.81,SO,1685067039
170,estes park,40.3772,-105.5217,14.22,71,100,1.79,US,1685067040
171,villa gesell,-37.2639,-56.973,17.81,94,100,9.71,AR,1685067040
172,valparaiso,-33.0393,-71.6273,15.56,64,75,1.54,CL,1685066966
173,saint-philippe,-21.3585,55.7679,20.77,82,100,5.17,RE,1685066810
174,enewetak,11.3474,162.3373,28.23,76,55,7.39,MH,1685067042
175,sisimiut,66.9395,-53.6735,-0.54,85,91,6.19,GL,1685067043
176,rikaze,29.25,88.8833,12.01,39,100,2.72,CN,1685067044
177,ancud,-41.8697,-73.8203,7.01,74,100,2.53,CL,1685067044
178,howrah,22.5892,88.3103,27.0,78,40,0.0,IN,1685066787
179,barah,13.7,30.3667,30.48,19,30,2.71,SD,1685067045
180,port alfred,-33.5906,26.891,12.88,81,100,3.58,ZA,1685067046
181,nabire,-3.3667,135.4833,30.75,61,11,2.4,ID,1685067046
182,hasaki,35.7333,140.8333,23.22,62,100,5.5,JP,1685067047
183,katsuren-haebaru,26.3369,127.8719,26.43,63,40,7.72,JP,1685067047
184,santyoku,37.4406,129.1708,20.99,58,100,3.55,KR,1685067048
185,arraial do cabo,-22.9661,-42.0278,22.58,87,0,5.99,BR,1685066965
186,kawalu,-7.3817,108.2082,26.96,66,22,1.77,ID,1685067048
187,vilyuchinsk,52.9306,158.4028,14.15,69,86,2.09,RU,1685066875
188,megion,61.0296,76.1136,13.01,38,0,1.86,RU,1685067050
189,tralee,52.2704,-9.7026,10.83,95,18,2.01,IE,1685066839
190,saint-louis,16.3333,-15.0,30.52,44,100,5.39,SN,1685066549
191,sola,-13.8833,167.55,26.18,67,100,8.33,VU,1685067051
192,whitehorse,60.7161,-135.0538,11.43,71,100,8.23,CA,1685067051
193,vanimo,-2.6741,141.3028,30.24,66,43,2.3,PG,1685067052
194,borujerd,33.8973,48.7516,14.84,81,100,0.68,IR,1685067052
195,maragogi,-9.0122,-35.2225,25.11,86,24,4.15,BR,1685067052
196,limon,10.0,-83.0333,27.25,81,100,2.6,CR,1685067052
197,mount pearl,47.5166,-52.7813,3.25,94,100,0.89,CA,1685067053
198,n'dalatando,-9.2978,14.9116,18.27,97,51,0.21,AO,1685067053
199,cidade velha,14.9167,-23.6167,23.26,73,0,5.66,CV,1685066811
200,smara,26.7384,-11.6719,18.43,65,24,4.48,EH,1685067053
201,tandil,-37.3217,-59.1332,14.82,99,100,2.58,AR,1685067053
202,port mathurin,-19.6833,63.4167,25.01,79,47,6.86,MU,1685067054
203,klyuchi,52.2667,79.1667,14.17,38,21,6.22,RU,1685067054
204,newport,51.5877,-2.9984,13.58,82,76,3.29,GB,1685067054
205,colonia,50.9333,6.95,11.08,79,0,2.57,DE,1685066940
206,hamilton,39.1834,-84.5333,16.35,47,0,3.09,US,1685066746
207,ornskoldsvik,63.2909,18.7153,5.53,81,100,3.09,SE,1685067055
208,nogliki,51.8333,143.1667,8.92,75,97,3.79,RU,1685066846
209,minas de marcona,-15.2119,-75.1103,14.52,88,61,5.7,PE,1685066813
210,plastun,44.7561,136.2939,17.86,47,100,3.66,RU,1685067055
211,new hamburg,43.3834,-80.6997,9.04,74,0,3.28,CA,1685067056
212,launceston,-41.45,147.1667,12.11,71,75,8.23,AU,1685067056
213,thunder bay,48.4001,-89.3168,5.39,68,100,1.46,CA,1685066877
214,udachny,66.4167,112.4,4.14,47,80,4.85,RU,1685067056
215,iskateley,67.6803,53.1512,15.98,81,98,5.75,RU,1685067056
216,puerto aysen,-45.4,-72.7,2.56,98,100,1.98,CL,1685067057
217,igra,57.5558,53.0547,18.27,53,96,3.29,RU,1685067057
218,keflavik,64.0049,-22.5624,5.95,87,75,4.12,IS,1685067057
219,mbekenyera,-10.0,38.9833,18.28,95,7,1.25,TZ,1685067057
220,kill devil hills,36.0307,-75.676,16.1,84,100,8.23,US,1685067057
221,karratha,-20.7377,116.8463,24.14,31,6,11.26,AU,1685067058
222,porto novo,6.4965,2.6036,25.35,91,100,1.41,BJ,1685067058
223,koutiala,12.3917,-5.4642,30.06,38,93,3.92,ML,1685067058
224,camana,-16.6228,-72.7111,19.09,88,80,4.25,PE,1685067058
225,ust'-kut,56.7938,105.7672,5.02,83,100,1.47,RU,1685067058
